1. ЖЕНСКИЕ ИМЕНОВАНИЯ: ДАМА, БАБА, СТАРУХА, БАРЫНЯ
2. НАСЕКОМЫЕ: ПЧЕЛА, ОСА, ШМЕЛЬ, БАБОЧКА
3. СТАРИННЫЕ СУДНА: ДРАККАР, БРИГ, ГАЛЕРА, БРИГАНТИНА
4. ФИГУРЫ ШАХМАТ: ЛАДЬЯ, ПЕШКА, ФЕРЗЬ, КОНЬ

1. ХУДОЖЕСТВЕННЫЕ ПРИНАДЛЕЖНОСТИ: МОЛБЕРТ, МАСТИХИН, ЛАВИСЬ, ЭТЮДНИК
2. ГРЕЧЕСКИЕ БУКВЫ: АЛЬФА, БЕТА, ДЕЛЬТА, ЭПСИЛОН
3. ЯРКОСТЬ: ЛУЧИСТОСТЬ, ОСВЕЩЁННОСТЬ, ОСЛЕПИТЕЛЬНОСТЬ, СВЕТЛОСТЬ
4. ЦВЕТОВЫЕ ПАРАМЕТРЫ: НАСЫЩЕННОСТЬ, ГАММА, ПАЛИТРА, ШКАЛА

1. ЧЕРТЫ ХАРАКТЕРА: ПРЕДАННОСТЬ, ЧЕСТНОСТЬ, ИСКРЕННОСТЬ, ВЕРНОСТЬ
2. ЦЕНООБРАЗОВАНИЕ: РЫНОЧНОСТЬ, НАКРУТКА, НАЦЕНКА, УДОРОЖАНИЕ
3. ТОЧНОСТЬ: СООТВЕТСТВИЕ, ТОЧНОСТЬ, ПРАВИЛЬНОСТЬ, КОРРЕКТНОСТЬ
4. ПРИЁМЫ: ЗАДУШЕНИЕ, БРОСОК, ПОДСАД, ПОДСЕК

1. ЖИТЕЛИ СТОЛИЦ: БЕРЛИНЕЦ, МАДРИДЕЦ, ПЕКИНЕЦ, ТОКИОИТ
2. ЛАСКАТЕЛЬНЫЕ ИМЕНА: ДИМУЛЯ, САШУЛЯ, ТАТЬЯНКА, ОЛЁШКА
3. ГОЛОВНЫЕ УБОРЫ: СОЛОМНИКА, ПАНАМКА, КЕПКА, БЕЙСБОЛКА
4. ЧАСТИ ТАНКА: БАШНЯ, ЛЮК, КОРПУС, ПРИЦЕЛ

1. МОНОСАХАРИДЫ: ГЛЮКОЗА, ФРУКТОЗА, САХАРОЗА, ГЛИКОГЕН
2. ФИЗИЧЕСКИЕ ЯВЛЕНИЯ: КОНВЕКЦИЯ, ДИФРАКЦИЯ, ПРЕЛОМЛЕНИЕ, ПОЛЯРИЗАЦИЯ
3. ЭЛЕКТРОМАГНИТНЫЕ ВОЛНЫ: РАДИОВОЛНА, ИНФРАКРАС, МИКРОВОЛНА, ИЗЛУЧЕНИЕ
4. ПРОЦЕССЫ: МОДЕРНИЗАЦИЯ, АДАПТАЦИЯ, КРИСТАЛЛИЗАЦИЯ, ВАКЦИНАЦИЯ
